country,sending,receiving,name,numeric
AT,4556,4934,Austria,40
BE,6247,6402,Belgium,56
BG,1305,612,Bulgaria,100
CH,2702,2611,Switzerland,756
CY,285,527,Cyprus,196
CZ,6193,5848,Czechia,203
DE,29983,22809,Germany,276
DK,2581,4911,Denmark,208
EE,716,1059,Estonia,233
ES,30621,30275,Spain,724
FI,4339,6618,Finland,246
FR,26921,24057,France,250
GB,10282,17654,United Kingdom,826
GR,3456,1763,Greece,300
HR,1070,746,Croatia,191
HU,3059,3967,Hungary,348
IE,2121,4821,Ireland,372
IS,194,487,Iceland,352
IT,21889,16872,Italy,380
LI,25,36,Liechtenstein,438
LT,2327,2082,Lithuania,440
LU,431,109,Luxembourg,442
LV,1367,976,Latvia,428
MT,151,480,Malta,470
NL,7231,8368,Netherlands,528
NO,1558,4226,Norway,578
PL,11384,10593,Poland,616
PT,5325,9020,Portugal,620
RO,3683,1704,Romania,642
SE,3324,8874,Sweden,752
SI,1277,1677,Slovenia,705
SK,2568,1247,Slovakia,703
TR,12948,5843,Turkey,792
