CountrySending,km_distance,km_deviation
AT,1195.7079328342356,667.6454087946214
BE,1003.9572046879844,698.0349408839658
BG,1477.4250626563482,635.8747820084292
CH,873.8688707878878,677.9379305326157
CY,2321.58089944304,978.2956649185227
CZ,1063.9095522527953,708.9199742983585
DE,1119.1436055378917,712.6527998251105
DK,1084.4255673623582,564.0760834295958
EE,1624.6040751360342,871.1221318064075
ES,1579.0648350313759,688.3372540762482
FI,1862.9229636615469,658.4735681168352
FR,1115.4043716336573,783.1727486084617
GR,1800.089192790666,588.662382474573
HR,877.49409699702,630.7464847101063
HU,1107.2767457429795,586.4501588366462
IE,1259.67260519341,458.4199400108418
IS,2394.5671464048887,482.1919682824115
IT,1209.0084974686238,530.454919564034
LI,1391.1681423107439,742.7011388022106
LT,1544.1519792795964,783.605142452627
LU,669.7053362884766,1823.7189812472895
LV,1407.480304029584,817.2364135171532
MK,989.6385547437345,550.820066934956
MT,1871.9852068127382,647.6639316196208
NL,1000.608937463199,610.6441476521532
NO,1389.9043322563132,652.9117540790581
PL,1334.849888026237,771.1856040815561
PT,1908.8852354832861,774.4931810496059
RO,1505.7217041450535,710.861199852549
SE,1424.1040026851574,599.019151493369
SI,1095.3937057396518,703.3559335728319
SK,950.0643302035226,691.3397598095701
TR,1971.9361142870375,605.6612804379191
UK,1165.9577659355375,773.7722241745133
